1.1	Purpose
13.1.4	Caching in HTTP_Explicit User Agent Warnings
13.1.5	Caching in HTTP_Exceptions to the Rules and Warnings
13.1.6	Caching in HTTP_Client-controlled Behavior
13.2	Caching in HTTP_Expiration Model
13.2.1	Caching in HTTP_Expiration Model_Server-Specified Expiration
13.2.2	Caching in HTTP_Expiration Model_Heuristic Expiration
13.2.3	Caching in HTTP_Expiration Model_Age Calculations
13.2.4	Caching in HTTP_Expiration Model_Expiration Calculations
13.2.5	Caching in HTTP_Expiration Model_Disambiguating Expiration Values
13.2.6	Caching in HTTP_Expiration Model_Disambiguating Multiple Responses
13.3	Caching in HTTP_Validation Model
13.3.1	Caching in HTTP_Validation Model_Last-Modified Dates
13.3.2	Caching in HTTP_Validation Model_Entity Tag Cache Validators
13.3.3	Caching in HTTP_Validation Model_Weak and Strong Validators
13.3.4	Caching in HTTP_Validation Model_Rules for When to Use Entity Tags and Last-Modified Dates
13.3.5	Caching in HTTP_Validation Model_Non-validating Conditionals
13.4	Caching in HTTP_Response Cacheability
13.5	Caching in HTTP_Constructing Responses From Caches
13.5.1	Caching in HTTP_Constructing Responses From Caches_End-to-end and Hop-by-hop Headers
13.5.2	Caching in HTTP_Constructing Responses From Caches_Non-modifiable Headers
13.5.3	Caching in HTTP_Constructing Responses From Caches_Combining Headers
13.5.4	Caching in HTTP_Constructing Responses From Caches_Combining Byte Ranges
13.6	Caching in HTTP_Caching Negotiated Responses
13.7	Caching in HTTP_Shared and Non-Shared Caches
13.8	Caching in HTTP_Errors or Incomplete Response Cache Behavior
13.9	Caching in HTTP_Side Effects of GET and HEAD
13.10	Caching in HTTP_Invalidation After Updates or Deletions
13.11	Caching in HTTP_Write-Through Mandatory
13.12	Caching in HTTP_Cache Replacement
13.13	Caching in HTTP_History Lists
14	Header Field Definitions
14.1	Header Field Definitions_Accept
14.2	Header Field Definitions_Accept-Charset
14.3	Header Field Definitions_Accept-Encoding
14.4	Header Field Definitions_Accept-Language
14.5	Header Field Definitions_Accept-Ranges
14.6	Header Field Definitions_Age
14.7	Header Field Definitions_Allow
14.8	Header Field Definitions_Authorization
14.9	Header Field Definitions_Cache-Control
14.9.1	Header Field Definitions_Cache-Control_What is Cacheable
